Year ,Quarters ,Gross Domestic Product: Quarter on Quarter growth: CVM SA %
2006 Q1,Q1,0.5
2006 Q2,Q2,0.3
2006 Q3,Q3,0.2
2006 Q4,Q4,0.6
2007 Q1,Q1,0.8
2007 Q2,Q2,0.5
2007 Q3,Q3,0.7
2007 Q4,Q4,0.4
2008 Q1,Q1,0.6
2008 Q2,Q2,-0.5
2008 Q3,Q3,-1.5
2008 Q4,Q4,-2
2009 Q1,Q1,-1.8
2009 Q2,Q2,-0.3
2009 Q3,Q3,0.1
2009 Q4,Q4,0.3
2010 Q1,Q1,0.7
2010 Q2,Q2,1.1
2010 Q3,Q3,0.7
2010 Q4,Q4,0.1
2011 Q1,Q1,0.5
2011 Q2,Q2,0.1
2011 Q3,Q3,0.3
2011 Q4,Q4,0.1
2012 Q1,Q1,0.7
2012 Q2,Q2,-0.1
2012 Q3,Q3,1.2
2012 Q4,Q4,-0.2
2013 Q1,Q1,0.5
2013 Q2,Q2,0.7
2013 Q3,Q3,0.8
2013 Q4,Q4,0.5
2014 Q1,Q1,0.9
2014 Q2,Q2,0.8
2014 Q3,Q3,0.7
2014 Q4,Q4,0.6
2015 Q1,Q1,0.6
2015 Q2,Q2,0.7
2015 Q3,Q3,0.5
2015 Q4,Q4,0.7
2016 Q1,Q1,0.4
2016 Q2,Q2,0.6
2016 Q3,Q3,0.4
2016 Q4,Q4,0.7
2017 Q1,Q1,0.6
2017 Q2,Q2,0.3
2017 Q3,Q3,0.4
2017 Q4,Q4,0.4
2018 Q1,Q1,0.2
2018 Q2,Q2,0.5
2018 Q3,Q3,0.6
2018 Q4,Q4,0.3
2019 Q1,Q1,0.6
2019 Q2,Q2,0.1
2019 Q3,Q3,0.5
2019 Q4,Q4,0
2020 Q1,Q1,-2.6
2020 Q2,Q2,-19.4
2020 Q3,Q3,17.6
2020 Q4,Q4,1.5
2021 Q1,Q1,-1.2
2021 Q2,Q2,5.6
2021 Q3,Q3,1
2021 Q4,Q4,1
